City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
101,saint-philippe,-21.3585,55.7679,19.77000000000004,85,7,3.46,RE,1690255372
102,urcos,-13.6861,-71.6228,9.939999999999998,76,48,0.62,PE,1690255372
103,al majaridah,19.1236,41.9111,31.99000000000001,24,84,1.34,SA,1690255372
104,ushuaia,-54.8,-68.3,-1.1899999999999977,69,0,1.03,AR,1690255285
105,antsiranana,-12.2787,49.2917,17.420000000000016,88,20,2.06,MG,1690255373
106,monrovia,6.3005,-10.7969,24.870000000000005,86,100,4.03,LR,1690255373
107,beya,53.0533,90.9139,22.370000000000005,48,98,1.02,RU,1690255373
108,vadso,70.0744,29.7487,9.490000000000009,93,75,6.17,NO,1690255373
109,santa isabel,-23.3156,-46.2214,18.939999999999998,64,34,0.29,BR,1690255374
110,kongsvinger,60.1905,11.9977,14.370000000000005,96,100,3.35,NO,1690255374
111,saipan,15.1355,145.701,29.80000000000001,100,40,7.2,MP,1690255374
112,pisco,-13.7,-76.2167,19.03000000000003,82,0,5.66,PE,1690255374
113,peterhead,57.5058,-1.7981,12.220000000000027,86,74,5.0,GB,1690255375
114,de aar,-30.6497,24.0123,5.57000000000005,44,100,2.01,ZA,1690255375
115,iwaki,37.05,140.8833,35.98000000000002,60,76,0.89,JP,1690255223
116,qarqaraly,49.4058,75.4742,23.210000000000036,34,42,4.8,KZ,1690255375
117,ilulissat,69.2167,-51.1,6.010000000000048,87,29,0.0,GL,1690255102
118,badger,64.8,-147.5333,30.950000000000045,39,75,6.17,US,1690255376
119,keflavik,64.0049,-22.5624,10.950000000000045,100,100,3.6,IS,1690255376
120,west island,-12.1568,96.8225,25.99000000000001,69,100,8.75,CC,1690255106
121,avarua,-21.2078,-159.775,23.03000000000003,78,75,2.57,CK,1690255117
122,ketchikan,55.3422,-131.6461,18.260000000000048,63,75,6.17,US,1690255376
123,hithadhoo,-0.6,73.0833,28.150000000000034,79,100,7.34,MV,1690255377
124,bor,56.3567,44.0669,15.960000000000036,94,82,2.86,RU,1690255377
125,lebu,-37.6167,-73.65,12.57000000000005,90,100,6.49,CL,1690255377
126,la'ie,21.6477,-157.9253,29.980000000000018,72,1,6.79,US,1690255377
127,longyearbyen,78.2186,15.6401,9.910000000000025,76,75,4.12,SJ,1690255377
128,andrelandia,-21.7397,-44.3092,15.180000000000007,87,71,1.18,BR,1690255378
129,udachny,66.4167,112.4,18.99000000000001,51,80,2.24,RU,1690255378
130,zouerate,22.7187,-12.4521,27.360000000000014,35,2,5.71,MR,1690255378
131,hamilton,39.1834,-84.5333,22.640000000000043,88,0,2.06,US,1690255032
132,muroto-misakicho,33.2833,134.15,28.04000000000002,78,6,2.93,JP,1690255379
133,port blair,11.6667,92.75,30.02000000000004,74,40,4.63,IN,1690255379
134,sultanah,24.4926,39.5857,32.25,11,0,1.03,SA,1690255379
135,inarajan village,13.2736,144.7484,30.220000000000027,86,100,4.45,GU,1690255379
136,blackmans bay,-43.0167,147.3167,13.180000000000007,63,100,1.41,AU,1690255087
137,brisas barra de suchiate,14.55,-92.2167,24.100000000000023,70,62,1.68,MX,1690255380
138,sitka,57.0531,-135.33,17.939999999999998,68,0,8.75,US,1690255380
139,afaahiti,-17.75,-149.2833,27.930000000000007,81,5,8.01,PF,1690255380
140,enewetak,11.3474,162.3373,28.680000000000007,79,43,7.25,MH,1690255380
141,rawlins,41.7911,-107.2387,22.939999999999998,33,0,4.12,US,1690255232
142,gaigeturi,33.4644,126.3183,27.03000000000003,83,100,2.57,KR,1690255381
143,san pedro pochutla,15.7333,-96.4667,26.510000000000048,91,100,1.42,MX,1690255381
144,hammerfest,70.6634,23.6821,12.25,82,100,2.06,NO,1690255381
145,georgetown,5.4112,100.3354,31.960000000000036,74,20,1.54,MY,1690255218
146,krasnoarmeysk,51.0239,45.6969,17.629999999999995,73,57,2.39,RU,1690255382
147,ngaoundere,7.3167,13.5833,17.629999999999995,95,60,0.66,CM,1690255382
148,quellon,-43.1167,-73.6167,8.140000000000043,100,100,4.63,CL,1690255383
149,nova vicosa,-17.8919,-39.3719,21.32000000000005,87,12,1.61,BR,1690255383
